pair_id,group_type,small_recipe_id,large_recipe_id,composite_score,ingredient_name,base_amount_g,role,target_amount_g,target_serving_size,per_serving_grams,ratio_actual,predicted_amount_g,ratio_baseline
PAIR_0006,moist_heat,A2267,LS_A0066,0.678207,콩나물,40.0,조미료,5000.0,100,50.0,1.25,4000.0,1.0
PAIR_0006,moist_heat,A2267,LS_A0066,0.678207,다시마,1.0,부재료,200.0,100,2.0,2.0,100.0,1.0
PAIR_0106,moist_heat,A1237,LS_A0267,0.677771,두부,30.0,부재료,3000.0,100,30.0,1.0,3000.0,1.0
PAIR_0106,moist_heat,A1237,LS_A0267,0.677771,양파,10.0,부재료,2000.0,100,20.0,2.0,1000.0,1.0
PAIR_0106,moist_heat,A1237,LS_A0267,0.677771,대파,5.0,부재료,500.0,100,5.0,1.0,500.0,1.0
PAIR_0106,moist_heat,A1237,LS_A0267,0.677771,마늘,1.0,부재료,150.0,100,1.5,1.5,100.0,1.0
PAIR_0106,moist_heat,A1237,LS_A0267,0.677771,생강,0.5,부재료,30.0,100,0.3,0.6,50.0,1.0
PAIR_0106,moist_heat,A1237,LS_A0267,0.677771,고춧가루,1.0,조미료,150.0,100,1.5,1.5,100.0,1.0
PAIR_0106,moist_heat,A1237,LS_A0267,0.677771,된장,30.0,양념,2400.0,100,24.0,0.8,3000.0,1.0
PAIR_0084,moist_heat,A1721,LS_A0239,0.674915,실파,2.0,부재료,200.0,100,2.0,1.0,200.0,1.0
PAIR_0084,moist_heat,A1721,LS_A0239,0.674915,두부,30.0,부재료,2000.0,100,20.0,0.6666666666666666,3000.0,1.0
PAIR_0084,moist_heat,A1721,LS_A0239,0.674915,다시마,1.0,부재료,100.0,100,1.0,1.0,100.0,1.0
PAIR_0092,moist_heat,A1462,LS_A0253,0.674915,무,30.0,부재료,4000.0,100,40.0,1.3333333333333333,3000.0,1.0
PAIR_0092,moist_heat,A1462,LS_A0253,0.674915,콩나물,20.0,조미료,2000.0,100,20.0,1.0,2000.0,1.0
PAIR_0182,moist_heat,A1814,LS_A0368,0.671746,당근,10.0,부재료,500.0,100,5.0,0.5,1000.0,1.0
PAIR_0016,moist_heat,A1951,LS_A0067,0.668874,대파,5.0,부재료,310.0,100,3.1,0.62,500.0,1.0
PAIR_0016,moist_heat,A1951,LS_A0067,0.668874,다시마,1.0,부재료,160.0,100,1.6,1.6,100.0,1.0
PAIR_0091,moist_heat,A1610,LS_A0245,0.668328,대파,5.0,부재료,400.0,100,4.0,0.8,500.0,1.0
PAIR_0091,moist_heat,A1610,LS_A0245,0.668328,달걀,15.0,부재료,1650.0,100,16.5,1.1,1500.0,1.0
PAIR_0091,moist_heat,A1610,LS_A0245,0.668328,국간장,1.0,양념,100.0,100,1.0,1.0,100.0,1.0
PAIR_0260,moist_heat,T0002,LS_E0012,0.666261,두부,15.0,부재료,800.0,100,8.0,0.5333333333333333,1500.0,1.0
PAIR_0260,moist_heat,T0002,LS_E0012,0.666261,마늘,0.5,부재료,40.0,100,0.4,0.8,50.0,1.0
PAIR_0260,moist_heat,T0002,LS_E0012,0.666261,멸치,1.5,부재료,100.0,100,1.0,0.6666666666666666,150.0,1.0
PAIR_0260,moist_heat,T0002,LS_E0012,0.666261,다시마,1.5,부재료,100.0,100,1.0,0.6666666666666666,150.0,1.0
PAIR_0109,moist_heat,A1299,LS_A0269,0.66066,양파,10.0,부재료,1000.0,100,10.0,1.0,1000.0,1.0
PAIR_0109,moist_heat,A1299,LS_A0269,0.66066,고추장,7.0,양념,1200.0,100,12.0,1.7142857142857142,700.0,1.0
PAIR_0109,moist_heat,A1299,LS_A0269,0.66066,대파,5.0,부재료,700.0,100,7.0,1.4,500.0,1.0
PAIR_0059,moist_heat,O0014,LS_A0218,0.660168,콩나물,50.0,주재료,5000.0,100,50.0,1.0,5000.0,1.0
PAIR_0059,moist_heat,O0014,LS_A0218,0.660168,마늘,1.0,조미료,100.0,100,1.0,1.0,100.0,1.0
