food_cd,food_nm,reason
D112-546000000-0001,다시마튀각,중복 FOOD_CD
D112-547010000-0001,닭다리튀김_간장,중복 FOOD_CD
D112-549040000-0001,닭튀김_날개,중복 FOOD_CD
D112-552000000-0001,떡강정,중복 FOOD_CD
D112-556000000-0001,미역튀각,중복 FOOD_CD
D112-566120000-0001,탕수육_새우,중복 FOOD_CD
D112-584000000-0000,난자완스,중복 FOOD_CD
D113-567000000-0001,가지나물,중복 FOOD_CD
D113-568000000-0001,고구마줄기나물,중복 FOOD_CD
D113-569000000-0001,고사리나물무침,중복 FOOD_CD
D113-570000000-0001,고춧잎나물무침,중복 FOOD_CD
D113-571000000-0001,깻잎나물,중복 FOOD_CD
D113-573000000-0001,냉이나물,중복 FOOD_CD
D113-574000000-0001,도라지나물무침,중복 FOOD_CD
D113-577000000-0001,머위대나물무침,중복 FOOD_CD
D113-578000000-0001,무나물무침,중복 FOOD_CD
D113-580000000-0001,방풍나물무침,중복 FOOD_CD
D113-581000000-0001,배추나물,중복 FOOD_CD
D113-582000000-0001,비름나물무침,중복 FOOD_CD
D113-584000000-0001,숙주나물,중복 FOOD_CD
D113-586000000-0001,시금치나물,중복 FOOD_CD
D113-588000000-0001,시래기나물무침,중복 FOOD_CD
D113-589000000-0001,씀바귀나물무침,중복 FOOD_CD
D113-590000000-0001,열무나물,중복 FOOD_CD
D113-590050000-0001,열무나물_된장,중복 FOOD_CD
D113-592000000-0001,유채나물,중복 FOOD_CD
D113-593000000-0001,참나물,중복 FOOD_CD
D113-595050000-0001,취나물_된장,중복 FOOD_CD
D113-595080000-0001,취나물_취나물(마른것),중복 FOOD_CD
D113-597000000-0001,콩나물무침,중복 FOOD_CD
D113-597030000-0001,콩나물무침_고춧가루,중복 FOOD_CD
D113-598000000-0001,토란대나물무침,중복 FOOD_CD
D113-600000000-0001,호박오가리나물무침,중복 FOOD_CD
D114-601000000-0001,가죽나물무침,중복 FOOD_CD
D114-605130000-0001,겉절이_배추,중복 FOOD_CD
D114-605160000-0001,겉절이_상추,중복 FOOD_CD
D114-605250000-0001,겉절이_열무,중복 FOOD_CD
D114-605350000-0001,겉절이_치커리,중복 FOOD_CD
D114-607200000-0001,골뱅이무침_소면,중복 FOOD_CD
D114-609000000-0001,굴무침,중복 FOOD_CD
D114-610000000-0001,김무침,중복 FOOD_CD
